review_id,product_name,rating,review_text,helpful_count
1,Wireless Mouse,5,"Excellent product! Works perfectly and very comfortable.",45
2,USB Keyboard,4,"Good keyboard but a bit noisy when typing.",23
3,Laptop Stand,5,"Amazing quality, very sturdy and adjustable. Highly recommend!",67
4,Phone Case,2,"Not as described. Material feels cheap and doesn't fit well.",8
5,Headphones,5,"Best headphones I've ever owned. Crystal clear sound!",89
6,Webcam,3,"Average quality. Works fine for video calls but not great in low light.",12
7,Monitor,5,"Absolutely love this monitor! Colors are vibrant and no dead pixels.",102
8,Desk Lamp,4,"Nice design and bright enough, but the switch is a bit flimsy.",18
9,Office Chair,5,"So comfortable! My back pain is gone after using this chair.",156
10,External SSD,5,"Super fast and reliable. Best purchase this year!",78
11,Mouse Pad,3,"It's okay. Nothing special but gets the job done.",5
12,Cable Organizer,4,"Helps keep my desk tidy. Wish it came in more colors.",14
13,Laptop Bag,5,"Perfect size and very protective. Great quality!",43
14,Screen Cleaner,2,"Doesn't clean as well as expected and leaves streaks.",6
15,USB Hub,4,"Works well and has enough ports. Compact design.",29
16,Wireless Charger,5,"Charges my phone quickly and looks sleek on my desk.",61
17,Bluetooth Speaker,3,"Sound quality is decent but battery life could be better.",11
18,Portable Charger,5,"Saved me many times! Charges my devices multiple times.",94
19,Screen Protector,4,"Easy to apply and fits perfectly. No bubbles!",32
20,Stylus Pen,5,"Very precise and works great for drawing. Love it!",48
